plan_id,student_id,topic_id,planned_date,planned_minutes,start_time,end_time,is_completed,is_remedial
1,1,4,2026-07-09,120,19:00,21:00,True,False
2,1,6,2026-07-10,120,19:00,21:00,True,False
3,1,6,2026-07-11,30,17:30,18:00,True,False
4,1,8,2026-07-11,90,19:00,20:30,False,False
5,1,8,2026-07-12,60,19:00,20:00,False,False
6,1,12,2026-07-12,60,20:15,21:15,False,False
7,1,12,2026-07-13,90,19:00,20:30,False,False
8,1,14,2026-07-13,30,20:45,21:15,False,False
9,1,14,2026-07-14,120,19:00,21:00,False,False
10,1,16,2026-07-15,120,19:00,21:00,False,False
11,1,16,2026-07-16,30,17:30,18:00,False,False
12,1,20,2026-07-16,90,19:00,20:30,False,False
13,1,20,2026-07-17,60,19:00,20:00,False,False
14,1,27,2026-07-17,60,20:15,21:15,False,False
15,1,27,2026-07-18,90,19:00,20:30,False,False
16,1,3,2026-07-18,30,20:45,21:15,False,False
17,1,3,2026-07-19,120,19:00,21:00,False,False
18,1,3,2026-07-20,30,17:30,18:00,False,False
19,1,5,2026-07-20,90,19:00,20:30,False,False
20,1,4,2026-07-10,45,21:15,22:00,False,True
21,1,37,2026-07-10,45,22:15,23:00,False,True
22,1,35,2026-07-11,45,20:45,21:30,False,True
